id,target,task_a_label
11t,"Seitdem erfolgt die Berichterstattung in regelmäßigen Abständen, zuletzt 2018.context:['Umgesetzt wird diese Strategie durch die Führungskräfte und Mitarbeiter:innen in den verschiedenen Unternehmensbereichen.', 'Laufend werden die Regeln und Prozesse, die im Unternehmen implementiert wurden, auf ihre Funktion und Wirksamkeit überprüft.', 'Zur umfassenden Berichterstattung über das Nachhaltigkeitsmanagement der [ORG] hat das Unternehmen für das Jahr 2016 erstmalig eine Entsprechenserklärung zum Deutschen Nachhaltigkeitskodex erstellt und veröffentlicht.']",class6
12t,"Die daraus resultierenden Einsparungen erwarten wir mit rd. 32.200 kWh pro Jahr.context:['Die Verkleinerung des ökologischen Fußabdrucks ist ein wichtiges, ökologisches Ziel der [ORG].', 'Der wichtigste Ansatzpunkt hierfür ist der Energieverbrauch.', 'Im Berichtsjahr haben wir zur Umsetzung von Energiesparmaßnahmen insbesondere den Austausch von herkömmlichen Leuchtmitteln auf LED-Technik vorgenommen.']",class12
13t,"Da die [ORG] derzeit nicht über eine explizite Nachhaltigkeitsstrategie verfügt, werden langfristige Ziele erst im Rahmen der Erarbeitung dieser Strategie im Jahr 2021 festgelegt.context:['Neben dem bilateralen Austausch und den Berichten der Fachbereiche in den einzelnen Sitzungen des Arbeitskreises, findet eine Kontrolle durch die Nachhaltigkeitsbeauftragten mittels eines Soll-Ist-Vergleichs zu den geplanten Maßnahmen statt.', 'Über den Entwicklungsstand der Maßnahmen informiert der Arbeitskreis Nachhaltigkeit über die jeweils zuständigen Fachbereiche den Gesamtvorstand.', 'Für strategische Nachhaltigkeitsziele ist der Gesamtvorstand zugleich auch Beschluss- und Kontrollorgan.']",class3
14t,"Der Verwaltungsrat setzt den erreichten Gesamtbetrag der variablen Vorstandsvergütung für das Geschäftsjahr fest.context:['Im Fall des Vergütungssystems der Vorstandsmitglieder und Generalbevollmächtigten ist die Auszahlung der variablen Vergütung von der Erfüllung konkreter wirtschaftlicher Nachhaltigkeitsziele abhängig.', 'Verantwortlich für die Ausgestaltung der Vorstandsvergütung ist der Verwaltungsrat.', 'Er vereinbart mit dem Vorstand die Ziele für das jeweilige Geschäftsjahr und bewertet im Folgejahr die Zielerreichung.']",class8
15t,"In der Wertschöpfungskette sehen wir unsere stärksten Einflussmöglichkeiten zur Verbesserung unserer Umweltwirkungen in der Produktion unserer Backwaren.context:['Die Betriebe in Bocholt und Droßdorf nehmen diverse natürliche Ressourcen in Anspruch, vor allem werden für die Backwarenproduktion Gas und Strom genutzt.', 'Das Unternehmen zählt zu den energieintensiven Unternehmen.', 'Details zum Umfang der Inanspruchnahmen siehe Leistungsindikatoren der Kriterien 11 - 12.']",class11
16t,"Bei neuen Projekten versucht die [ORG], den Anteil an nachwachsenden Rohstoffen zu erhöhen (s. auch Wertschöpfungsstufe ""Ausführung/Bauen/Wohnen"").context:['Der Hauptbaustoff ""Beton"" wird jedoch zum größten Teil mit regionalem Kies hergestellt.', 'Neben Kies und Beton werden auch Materialien wie Sand und Erde größtenteils regional bezogen.', 'Zusätzlich wird Kies für Beton aus dem Baubestand eigener Grundstücke gewonnen.']",class4
17t,"Mit diesen Stakeholdern finden regelmäßig Austausche zur Verbesserung der Zusammenarbeit statt.context:['Die Kundinnen bzw. Kunden und Stakeholder der [ORG] werden in erster Linie durch den Förderauftrag des Landes und die Gestaltung der Förderrahmenbedingungen definiert.', 'Zu den wichtigsten Stakeholdern gehören das Land selbst als Träger und Eigentümer der [ORG], Kommunen sowie kommunale Aufgabenträger, Vermittler für Immobilienfinanzierungen und die Hausbanken der Kundinnen und Kunden in Schleswig-Holstein.', 'Weitere Stakeholder sind die Wirtschaftsfördergesellschaften, Kammern, Verbände und andere Multiplikatoren, z.B. Branchen-Cluster und wissenschaftliche Kompetenznetzwerke.']",class9
18t,"Mithilfe diverser Programme zur beruflichen und persönlichen Weiterentwicklung von Frauen konnten wir den Frauenanteil steigern.context:['Wir wollen mehr Frauen in Führungspositionen bringen, unsere Null-Toleranz-Einstellung gegenüber Homophobie sichtbarer machen und aktiv zu Integration beitragen.', 'Der Frauenanteil in den drei obersten Führungsebenen der [ORG] liegt bei 26,2 Prozent und bei der [ORG] sind es 56,0 Prozent.', 'Um die Aufstiegsmöglichkeiten von Frauen zu verbessern, unterstützen wir sie zum Beispiel mit gezielten Trainings für verschiedene Managementebenen.']",class15
19t,"Die [ORG] übernimmt mit diesem Komitee unternehmerische Verantwortung gegenüber zukünftigen Generationen, unterstützt internationale Transformationsprozesse aktiv und erschließt sich neue, innovative Geschäftsfelder.context:['Um den Transformationsprozess in eine CO2-arme, inklusive und nachhaltige Wirtschaft zu begleiten, hat die [ORG] ein Sustainable Finance Committee gegründet.', 'Ziel ist die Vernetzung von Aktivitäten und Segmenten mit Bezug zu nachhaltigem Finanzwesen innerhalb der Bank.', 'Durch interdisziplinäre Zusammenarbeit wird ein übergreifender Informationsaustausch gefördert und die Entwicklung neuer bzw. die Verbesserung bereits bestehender Produkte unterstützt.']",class2
20t,"Die größte Herausforderung liegt daher in der Reduzierung der indirekten Emissionen, welche durch die Kreditvergabe entstehen.context:['Aufgrund des Neugeschäfts im Bereich Projektfinanzierungen stiegen die Emissionen um gut 30 % an.', 'Die gesamten Emissionen in Scope 3 sind um 15 % angestiegen.', 'Im Jahr 2019 stellten die Emissionen durch Projektfinanzierungen den größten Anteil an den Gesamtemissionen der [ORG] dar, gefolgt von den Emissionen durch eingegangene Beteiligungen.']",class13
21t,"Eine Quantifizierung der Ziele - mit Ausnahme der nachfolgend genannten Vorgaben - bzw. die Festlegung eines zeitlichen Horizonts existiert nicht.context:['Hierzu fand in den Vorjahren ein regelmäßiges Benchmarking mit Gebäuden vergleichbarer Größe und technischer Ausstattung statt.', 'Im Rahmen eines Projektes zur Verbesserung der Heizungsverbräuche wurde an allen eigenen Standorten ein innovatives Energieeinsparsystem eingeführt.', 'Zukünftige Entwicklungen in diesem Bereich verfolgt die [ORG] permanent.']",class12
22t,"Die Bank verfügt über eine etablierte Compliance-Organisation, die insbesondere auch auf die Verhinderung von strafbaren Handlungen ausgerichtet ist.context:['Für die Bank ist rechtmäßiges Handeln eine Grundvoraussetzung für dauerhafte und stabile Geschäftsbeziehungen sowie für eine langfristig erfolgreiche Unternehmensentwicklung.', 'Der Vorstand versteht das Thema Compliance als wesentliche Leitungsaufgabe und bekennt sich ausdrücklich zu rechtmäßigem, sozialem und ethischem Handeln.', 'Zur Bekämpfung von Insiderhandel und Marktmanipulation, Korruption oder sonstigen strafbaren Handlungen gibt es strenge und detaillierte Richt- und Leitlinien für alle Mitarbeiter.']",class20
23t,"Die Referentin der Direktion für Nachhaltigkeit wird beauftragt die Nachhaltigkeitsstrategie weiterzuentwickeln, Themenbausteine zu definieren und ein Kennzahlengerüst zu erarbeiten.context:['Die Zielerreichung soll durch die Integration der Themen zu Nachhaltigkeit in Balanced Scorecard (BSC) sicher gestellt werden.', 'In der BSC für das Jahr 2018 wurde erstmals der Baustein Nachhaltigkeit eingeführt und der Aufbau eines Nachhaltigkeitsmanagements als Ziel definiert.', 'Dadurch soll die Nachhaltigkeitsstrategie in die übergreifende Unternehmensstrategie eingebunden werden.']",class1
24t,"Ein guter Ruf ist die Grundlage für das Vertrauen der Kunden in die Dienstleistung der Bank.context:['Die Compliance-Kultur der [ORG] wird geprägt durch die Grundeinstellungen und Verhaltensweisen des Managements sowie durch die Rolle des Aufsichtsorgans.', 'Die Compliance-Kultur beeinflusst die Grundhaltung, die die Mitarbeiter des Unternehmens der Beachtung von Regeln beimessen, und damit die Bereitschaft zu regelkonformem Verhalten.', 'Die hohe Reputation hat einen wesentlichen Anteil am geschäftlichen Erfolg der [ORG].']",class20
25t,"Bei diesen besteht ein Risiko nicht nachhaltiger Leistungen und Produkte.context:['Die Wertschöpfungskette der [ORG] beginnt bei der Produktentwicklung und vollzieht sich über alle folgenden Schritte, wie qualifizierte Vertriebsmassnahmen, individuelle Beratung und -information, die transparente Betreuung bis hin zum fortwährenden Produktmanagement.', 'Hinzu kommen Prozesse wie der Einkauf (Hardware, Software, Briefpapier, Papier etc.) oder Unternehmens- und Personalorganisation (Verträge & Vergütungen).', 'Bei der Produktentwicklung, dem Produktmanagement, dem Vertrieb und der Unternehmensorganisation wird teilweise mit externen Partnern zusammengearbeitet.']",class4
26t,"Strategie und Maßnahmen kommen im Geschäftsjahr 2022 zum Einsatz.context:['Für das Berichtsjahr 2021 lag für [ORG] noch keine Nachhaltigkeitsstrategie vor.', 'Vielmehr wurde das Jahr genutzt, um das bisherige Nachhaltigkeitsverhalten zu analysieren und zu bewerten.', 'Auf der Basis dieser Auswertung und auf der Erstellung einer Wesentlichkeits- und Stakeholderanalyse, wurden eine strategische Grundausrichtung sowie konkrete Maßnahmen zur Erhöhung der Nachhaltigkeit erarbeitet.']",class1
27t,"Die mit unserem direkten Geschäftsbetrieb einhergehenden Treibhausgasemissionen messen wir derzeit noch nicht systematisch und legen sie daher nicht offen.context:['Physische Risiken durch Folgen des Klimawandels und Transitorische Risiken aus dem Übergang zu einer nachhaltigen, CO2- neutralen Wirtschaft.', 'Mögliche physische Risiken für den Geschäftsbetrieb durch Naturgewalten/ Unfälle werden grundsätzlich im Rahmen unseres Risikomanagements unter den „operationellen Risiken“ analysiert.', 'Dabei bewerten wir die Auswirkungen derartiger externer Ereignisse auf die Ertrags- und Risikosituation der [ORG].']",class12
28t,"Wir verweisen hier auch auf die Leistungsindikatoren GRI-SRS 301-1, 302-1, 302-4 und 306-2.context:['Wir wollen in den nächsten Jahren weiterhin verstärkt Energie aus nachhaltiger Erzeugung beziehen.', 'Ziel der [ORG] ist es, ihren ökologischen Fußabdruck zu verkleinern.', 'Als ersten Schritt dazu veröffentlichen wir im Rahmen der VfU-Kennzahlen (Verein für Umweltmanagement und Nachhaltigkeit in Finanzinstituten) zur betrieblichen Umweltleistung für Finanzdienstleister unsere Verbräuche von Energie und Wasser, Verkehr, Papier und Abfall und die damit verbundenen CO2-Emissionen.']",class11
29t,"Neben den Zielen des Pariser Klimaabkommens beruft sich die Selbstverpflichtung auf die „Principles for Responsible Banking“, der Finanzinitiative des Umweltprogramms der Vereinten Nationen (UN).context:['Externe Anforderungen', 'Bei der Weiterentwicklung haben wir auch die kommenden Anforderungen aus dem EU-Aktionsplan zur Finanzierung nachhaltigen Wachstums, das Merkblatt der Bundesanstalt für Finanzdienstleistungsaufsicht zum Umgang mit Nachhaltigkeitsrisiken sowie die Entwicklungsziele der Vereinten Nationen (Agenda 2030) im Blick.', 'Außerdem wurden die aus der freiwilligen „Selbstverpflichtung deutscher [ORG] für klimafreundliches und nachhaltiges Wirtschaften“ resultierenden Anforderungen in 2021 im Rahmen von Workshops mit unserer Nachhaltigkeitsarbeit verzahnt und auf Fachbereichsebene operationalisiert.']",class1
30t,"Dies bedeutet gegenüber dem Vorjahr eine Einsparung von 0,3 Mio. Blatt Papier.context:['Betrachtet man die Geschäftstätigkeit der [ORG], sind die wesentlichen Umweltauswirkungen der Papierverbrauch und der betriebsnotwendige Energieverbrauch für Wärme und Strom sowie Fahrten innerhalb des Geschäftsgebietes und zu Fortbildungsveranstaltungen.', 'Um einem hohen Papierverbrauch entgegenzuwirken, bietet die [ORG] aktiv das elektronische Postfach für ihre Kunden an und sucht nach weiteren Möglichkeiten, den Papierverbrauch einzudämmen.', 'Die [ORG] hat im Berichtsjahr 3,7 Mio. Blatt Papier verwendet.']",class11
31t,"Als gemeinwohlorientiertes, öffentlich-rechtliches Kreditinstitut unterliegt die [ORG] den Tarifbestimmungen des öffentlichen Dienstes und den deutschen Arbeitsgesetzen, sodass in ihrer wesentlichen Geschäftstätigkeit kein Risiko von Menschenrechtsverletzungen besteht.context:['Für die [ORG] gehört die Achtung der Menschenrechte zu den Grundwerten.', 'Zwangs- oder Kinderarbeit lehnt sie entschieden ab und vermeidet es, mit entsprechenden Unternehmen zusammenzuarbeiten.', 'Wir vergeben Aufträge vornehmlich an regionale Unternehmen und achten hierbei auf die Einhaltung von Tarifbestimmungen, z.B. bei den von uns beauftragten Reinigungsfirmen.']",class17
32t,"Schließlich verpflichten sich unsere Zulieferer durch vertragliche Regelung, die gesetzlichen Vorgaben zu Arbeitssicherheit und Gesundheitsschutz einzuhalten.context:['Damit wir weiterhin die richtigen Partner an unserer Seite wissen, berücksichtigen wir bei unseren Ausschreibungen immer auch soziale und ökologische Kriterien.', 'Gemäß unserer Allgemeinen Einkaufsbedingungen sowie unserer Beschaffungs- und Vergaberichtlinie beauftragen wir nur fachkundige, leistungsfähige und gesetzestreue Unternehmen.', 'Außerdem müssen unsere Partner die Mindestanforderungen der Internationalen Arbeitsorganisation an die Arbeitsbedingungen („ILO-Kernarbeitsnormen“) beachten und die Mindeststandards zur unternehmensinternen Frauenförderung und zur Vereinbarkeit von Beruf und Familie erfüllen.']",class4
33t,"So sind jederzeit Anpassungen und Ergänzungen möglich sowie der Erreichungsgrad für alle sichtbar.context:['Verantwortlich für den Erreichungsgrad und die Kontrolle der Nachhaltigkeitsziele sind [PERSON], Geschäftsführerin der Agentur, und ein internes Nachhaltigkeitsteam, das sich regelmäßig austauscht.', 'Für das Qualitätsmanagementsystem, die Erfassung der Kennzahlen und das Erreichen der Nachhaltigkeitsziele ist [PERSON] verantwortlich.', 'In regelmäßigen Abständen werden die gesetzten Nachhaltigkeitsziele überprüft, bewertet und intern kommuniziert.']",class3
34t,"Der Erlös der jährlichen Tombola durch Losverkauf an unsere Beschäftigten wird von der Geschäftsleitung aufgestockt und an umliegende soziale Einrichtungen gespendet, z.B. Kindergärten.context:['Wir sind aktiv tätig in Berufsverbänden wie Handwerkskammer, Innung, Umweltpartnerschaft (z.B. ein aktives Mitglied im Meister-Prüfungsausschuss der Innung; ehrenamtliche Leitung des Finanzausschusses der Handwerkskammer).', 'Wir stellen uns auf Messen und ähnlichen Veranstaltungen sowie in Schulen der Umgebung vor, um für den Ausbildungsberuf im Gebäudereinigungshandwerk zu werben.', 'Wir unterstützen soziale Projekte (z.B. Duschbus für Obdachlose) durch regelmäßige unentgeltliche Reinigungsdienstleistungen.']",class18
35t,"Verantwortliche für die Nachhaltigkeitsberichterstattung ist die Abteilung Zentrale Steuerung mit der Abteilungsleiterin [PERSON] und der Sachgebietsleiterin für den Bereich Marketing [PERSON].context:['Das für die Nachhaltigkeitsentwicklung des Unternehmens im Jahr 2019 ins Leben gerufene Projektteam setzt sich aus Mitarbeiterinnen und Mitarbeitern aus allen Fachabteilungen zusammen.', 'Die Beteiligung der Belegschaft am Nachhaltigkeitsmanagement wird dadurch jederzeit gewährleistet.', 'Das Kernteam bildet die Geschäftsführung, die Abteilungsleitung Zentrale Steuerung und das Marketing.']",class5
36t,"Sie sind ein Beleg für die hohen Umweltstandards, die bereits bei der Planung angelegt und beim Bau der Anlage realisiert wurden.context:['Mit der Überprüfung der Messeinrichtungen ist der [ORG] als unabhängige Kontrollinstitution betraut.', 'Die ermittelten Daten aus dem Jahr 2020 zeigen, dass sowohl die Werte der 17. Bundesimmissionsschutzverordnung (17. BImSchV) als auch die noch strengeren von der Aufsichtsbehörde festgesetzten Genehmigungswerte nicht nur eingehalten, sondern abermals deutlich unterschritten worden sind.', 'Die guten Ergebnisse der vergangenen Jahre verdeutlichen, dass die Anlage seit nunmehr 23 Jahren sehr zuverlässig arbeitet.']",class11
37t,"Das bedeutet, dass Geräte und weitere Forschungsausrüstungen sorgfältig beschafft, langfristig genutzt, regelmäßig gewartet und sachgerecht entsorgt werden müssen.context:['Der Campusbetrieb erzeugt einen nicht unerheblichen Beschäftigten- und Lieferverkehr, zudem werden Baumaßnahmen im Bereich der Büro- und Laborgebäude sowie der Forschungsinfrastruktur durchgeführt.', 'Dies führt zur Entstehung von Abgasen und Lärm.', 'Das [ORG] ist als öffentlich finanzierte Forschungseinrichtung grundsätzlich gehalten, mit finanziellen, materiellen und energetischen Ressourcen sparsam und verantwortungsbewusst umzugehen.']",class11
38t,"Darüber hinaus stehen erfahrene BeraterInnen den jungen BeraterInnen immer als Ansprechperson zur Verfügung.context:['Erfahrene MitarbeiterInnen geben Wissen weiter und unterstützen in der Beratung.', 'Unsere erfahrensten MitarbeiterInnen können teilweise auf über 25 Jahre Berufserfahrung zurückblicken und freuen sich darüber ihr Wissen weiterzugeben.', 'Dies erfolgt durch verschiedene Methoden, bspw. durch die Tandem-Beratung, bei der junge BeraterInnen erfahrene BeraterInnen zunächst begleiten und durch Beobachtung lernen.']",class16
39t,"Insgesamt handelt es sich daher um geringe Wassermengen, die im Zuge der Abwasserreinigung Energie verbrauchen, und somit im Verhältnis keinen wesentlichen Einfluss auf den Gesamtenergieverbrauch haben.context:['Dieser beschränkt sich hauptsächlich auf den Betrieb von Toilettenanlagen und Kaffeeküchen für den täglichen Bedarf der Mitarbeiter und Kunden während der Arbeitszeit sowie übliche Reinigungstätigkeiten.', 'Bei Wasser in haustechnischen Anlagen handelt es sich im Wesentlichen um geschlossene Systeme, die keinen nennenswerten Verbrauch aufweisen.', 'Technische Anlagen zur Luftbefeuchtung oder Kühlung führen das verbrauchte Wasser unmittelbar durch Verdunstung der Umwelt wieder zurück.']",class11
40t,"Diese strategische Ausrichtung haben wir in einem Nachhaltigkeitsleitbild zusammengefasst, das auch in unserem Bericht ""Nachhaltig - Nachhaltigkeitsbericht 2017 mit Umwelterklärung 2018"" auf den Seiten 34 und 35 zu finden ist.context:['Für ein produzierendes Unternehmen wie [ORG] nimmt das Thema Umwelt- und Ressourcenschutz einen wichtigen Platz in der Unternehmensstrategie ein.', 'Folgerichtig zählt es neben Produkttechnologie und -marketing, Qualität, innovative Technik und Kosteneffizienz sowie Personalpolitik gleichberechtigt zu den strategischen Erfolgsfaktoren unseres Unternehmens.', 'Unsere Unternehmensstrategie haben wir konsequent unter Beachtung des Vorsorgeprinzips auf Nachhaltigkeit ausgerichtet.']",class1
41t,"Der individuelle LOV-Betrag berechnet sich aus qualitativen und quantitativen Kriterien, wie zum Beispiel eine hohe Beratungsqualität oder dem Sozial- und Leistungsverhalten.context:['Die Beschäftigten der [ORG] können neben dem tariflichen Grundgehalt eine leistungs- und erfolgsorientierte Vergütung (LOV) erhalten.', 'Die Leistungen der Beschäftigten sollen damit fair ermittelt und dem wirtschaftlichen Erfolg der [ORG] entsprechend angemessen honoriert werden.', 'In die Berechnung der Höhe des Topfes, der für die Auszahlung der LOV zur Verfügung steht, fließt der Betriebserfolg des Geschäftsjahres ein.']",class8
42t,"Der Zielabgleich ist fixer Bestandteil jeder Agenda.context:['Alle Ziele werden vierteljährlich gemeinsam im Team reflektiert', 'Unsere mittel- und langfristigen Nachhaltigkeitsziele sind integraler Bestandteil unserer weiteren Unternehmensziele.', 'Dementsprechend werden sie mit allen anderen Zielen zusammen auf unseren vierteljährlichen strategischen Quartalstreffen und auf dem jährlichen Strategietreffen abgeglichen und ggf. angepasst.']",class3
43t,"Die Programme verhelfen zu einer nachhaltigen Reduzierung der CO2-Emissionen im Gebäudebestand, sichern Wohnraum für Haushalte mit niedrigen und mittleren Einkommen und tragen dazu bei, dass neu errichtete Wohngebäude unter zukunftsorientierten Effizienzstandard errichtet werden und damit langfristig auf die Klimaneutralität des Gebäudebestandes einzahlen.context:['Insgesamt wurden im Berichtsjahr 11.794 Arbeitsplätze geschaffen oder erhalten.', 'Im Geschäftsfeld Immobilienförderung unterstützt die [ORG] Eigentümer von Wohnimmobilien unter Berücksichtigung der jeweils aktuellen Standards bei der energetischen Gebäudesanierung, dem energieeffizienten Neubau, dem altersgerechten, barrierereduzierenden Umbau sowie im Rahmen der sozialen Wohnraumversorgung bzw. des Wohnungsneubaus.', 'Alle Programme berücksichtigen die langen Investitionszyklen bei Immobilieninvestitionen durch die Möglichkeit lange Zinsbindungen und einer Orientierung an soziokulturellen, demographischen Trends sowie den gesteckten klimaschutzpolitischen Zielen des Landes.']",class10
44t,"Insbesondere die Ergebnisse der Kundenbefragung 2018 stellen die Ausgangsbasis für die Definition der strategischen Ziele in der Dimension Gesellschaft dar.context:['Diese Berichte werden im Internet bereitgestellt.', 'Des Weiteren verfügt die [ORG] über einen umfangreichen Internetauftritt inklusive Berater-Chat.', 'Einen weiteren, wichtigen Bestandteil der Kommunikation stellen die Online-Kundenbefragungen und ein professionelles Beschwerdemanagement dar.']",class9
45t,"Die Erreichung dieser Ziele wird durch den Geschäftsführer im Rahmen der jährlichen Mitarbeitergespräche überprüft.context:['Mit allen MitarbeiterInnen finden jährlich Mitarbeitergespräche statt, in denen individuelle Zielvereinbarungen getroffen werden.', 'Neben Umsatzzielen sind Ziele zur Weiterentwicklung des jeweiligen Aufgabenbereichs wesentlicher Bestandteil.', 'Dazu zählt je nach Position auch ein Beitrag zur Erfüllung der gesetzten Nachhaltigkeitsziele.']",class8
46t,"Mit der Veröffentlichung der Nachhaltigkeitsstrategie Ende 2018 wurden alle Mitarbeiter über unsere Ausrichtung informiert.context:['Der Vorstand trägt somit auch die Verantwortung für die Berücksichtigung und Umsetzung der in der Nachhaltigkeitsstrategie verankerten Aspekte bei den täglichen Aufgaben.', 'Die nachhaltige Ausrichtung der [ORG] ist eine gesamtunternehmerische Kernaufgabe, die alle Mitarbeiter unseres Hauses betrifft.', 'Diese kann nur gelingen, wenn alle Führungskräfte in ihren Bereichen Handlungspotenziale erkennen und bei den Mitarbeitern ein Bewusstsein für nachhaltiges Handeln etablieren.']",class5
47t,"Gleichwohl sind wir über die Einhaltung der gesetzlichen Vorschriften und behördlichen Auflagen zum Umweltschutz bemüht, den Umweltschutz aktiv und langfristig weiterzuentwickeln.context:['Die Rohstoffproduktivität stellt insofern keinen maßgeblichen Indikator dar.', 'Somit dürften sich keine nennenswerten Risiken ergeben.', 'Eine tiefergehende Risikoanalyse wird infolgedessen nicht vorgenommen.']",class12
